name,start_date,end_date,executive,council,council_website,id,email,image,party,source,ward,council_email
Dereck Walpo,,,mayor,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/dereck_walpo,,,,,,council@aurukun.qld.gov.au
Doris Poonkamelya,,,,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/doris_poonkamelya,,,,,,council@aurukun.qld.gov.au
Ada Woolla,,,,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/ada_woolla,,,,,,council@aurukun.qld.gov.au
Edgar Kerindun,,,,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/edgar_kerindun,,,,,,council@aurukun.qld.gov.au
Vera Komeeta,,,,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/vera_komeeta,,,,,,council@aurukun.qld.gov.au
Richard Marsh,,,mayor,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/richard_marsh,,,,,,council@balonne.qld.gov.au
Samantha O'Toole,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/samantha_o'toole,,,,,,council@balonne.qld.gov.au
Scott Scriven,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/scott_scriven,,,,,,council@balonne.qld.gov.au
Robyn Fuhrmeister,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/robyn_fuhrmeister,,,,,,council@balonne.qld.gov.au
Ian Todd,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/ian_todd,,,,,,council@balonne.qld.gov.au
Fiona Gaske,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/fiona_gaske,,,,,,council@balonne.qld.gov.au
Robert Paul,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/robert_paul,,,,,,council@balonne.qld.gov.au
Nev Ferrier,,,mayor,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/nev_ferrier,,,,,,enquiries@banana.qld.gov.au
Colin Semple,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/colin_semple,,,,,,enquiries@banana.qld.gov.au
Brooke Leo,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/brooke_leo,,,,,,enquiries@banana.qld.gov.au
David Snell,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/david_snell,,,,,,enquiries@banana.qld.gov.au
Pat Brennan,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/pat_brennan,,,,,,enquiries@banana.qld.gov.au
Vaughn Becker,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/vaughn_becker,,,,,,enquiries@banana.qld.gov.au
Warren Middleton,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/warren_middleton,,,,,,enquiries@banana.qld.gov.au
Robert Chandler,,,mayor,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/robert_chandler,,,,,,admin_office@barc.qld.gov.au
Sean Dillon,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/sean_dillon,,,,,,admin_office@barc.qld.gov.au
Milynda Rogers,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/milynda_rogers,,,,,,admin_office@barc.qld.gov.au
Rebecca Plumb,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/rebecca_plumb,,,,,,admin_office@barc.qld.gov.au
Garry Bettiens,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/garry_bettiens,,,,,,admin_office@barc.qld.gov.au
Gary Peoples,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/gary_peoples,,,,,,admin_office@barc.qld.gov.au
Jenni Gray,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/jenni_gray,,,,,,admin_office@barc.qld.gov.au
Bruce Scott,,,mayor,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/bruce_scott,,,,,,shire@barcoo.qld.gov.au
Dianne Pidgeon,,,,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/dianne_pidgeon,,,,,,shire@barcoo.qld.gov.au
Jill Fitzgerald,,,,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/jill_fitzgerald,,,,,,shire@barcoo.qld.gov.au
Michael Pratt,,,,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/michael_pratt,,,,,,shire@barcoo.qld.gov.au
Peter Batt,,,,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/peter_batt,,,,,,shire@barcoo.qld.gov.au
Barry Muir,,,mayor,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/barry_muir,,,,,,admin@btrc.qld.gov.au
Graham Jarvis,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/graham_jarvis,,,,,,admin@btrc.qld.gov.au
Lindsay Russell,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/lindsay_russell,,,,,,admin@btrc.qld.gov.au
Hector Heumiller,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/hector_heumiller,,,,,,admin@btrc.qld.gov.au
Pam Pullos,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/pam_pullos,,,,,,admin@btrc.qld.gov.au
Ben Holdcroft,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/ben_holdcroft,,,,,,admin@btrc.qld.gov.au
Boyd Johnstone,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/boyd_johnstone,,,,,,admin@btrc.qld.gov.au
Eric Charles Britton,,,mayor,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/eric_charles_britton,,,,,,admin@boulia.qld.gov.au
Allan Robinson,,,,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/allan_robinson,,,,,,admin@boulia.qld.gov.au
Rebecka Britton,,,,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/rebecka_britton,,,,,,admin@boulia.qld.gov.au
Brook McGlinchey,,,,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/brook_mcglinchey,,,,,,admin@boulia.qld.gov.au
Sam Beauchamp,,,,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/sam_beauchamp,,,,,,admin@boulia.qld.gov.au
Graham Quirk,,,mayor,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/graham_quirk,lordmayor@brisbane.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/039320.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/lord-mayor-graham-quirk,,
Steven Toomey,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/steven_toomey,thegap.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-steve-toomey.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/the-gap-ward,The Gap,
Jarred Cassidy,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/jarred_cassidy,deagon.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-jarred-cassidy.jpg,Labor,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/deagon-ward,Deagon,
Angela Owen,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/angela_owen,calamvale.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-angela-owen.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/calamvale-ward,Calamvale,
Charles Strunk,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/charles_strunk,forestlake.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-charles-strunk.jpg,Labor,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/forest-lake-ward,Forest Lake,
Adrian Schrinner,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/adrian_schrinner,chandler.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-adrian-schrinner.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/chandler-ward,Chandler,
Amanda Cooper,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/amanda_cooper,brackenridge.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-amanda-cooper.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/bracken-ridge-ward,Bracken Ridge,
Andrew Wines,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/andrew_wines,enoggera.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-andrew-wines.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/enoggera-ward,Enoggera,
